Mean,Median,Mode,Kurtosis,Skewness,Standard Deviation,Variance,Standard Error,Max,Min,Sum,Range,2nd Quartile,RMS,Count,Shape Factor,Impulse Factor,K Factor,Condition
0.004117429,-0.000420895,0.047621183,0.705523178,0.116939139,0.298621422,0.089174754,0.005452965,1.1070722,-1.161548,12.35228582,2.2686202,-0.000420895,0.298649807,3000,1.309393335,5.092664298,0.257113616,Healthy
0.001398491,-0.001683578,-0.093198024,0.612555942,0.111255388,0.301457554,0.090876657,0.005504754,1.2056818,-0.9949941,4.195474011,2.2006759,-0.001683578,0.301460798,3000,1.291062151,5.163557412,0.250033465,Healthy
-0.00659826,-0.009079292,-0.086463712,0.806304676,0.134979145,0.296203885,0.087736742,0.00540882,1.2686957,-1.1272752,-19.79477891,2.3959709,-0.009079292,0.296277368,3000,1.312865479,5.621849558,0.233529102,Healthy
-0.000163668,-0.003307027,-0.11700861,0.900254017,0.088910965,0.318043146,0.101151443,0.005807615,1.4256291,-1.1352121,-0.491003129,2.5608412,-0.003307027,0.318043188,3000,1.317039705,5.903632594,0.223089714,Healthy
0.000250853,-0.005712137,-0.11857194,0.574849009,0.102584949,0.310772666,0.09657965,0.005674853,1.3116269,-1.2587144,0.752559423,2.5703413,-0.005712137,0.310772768,3000,1.288957516,5.440088472,0.236936866,Healthy
0.000406304,-0.007215331,-0.10354,0.796338107,0.102137779,0.307271798,0.094415958,0.005610925,1.1223447,-1.0308303,1.21891056,2.153175,-0.007215331,0.307272066,3000,1.313722664,4.798515159,0.273776912,Healthy
-0.000895663,-0.00751597,-0.091634698,0.601869264,0.069256528,0.266853453,0.071210765,0.004872867,1.0002854,-1.1374969,-2.686989415,2.1377823,-0.00751597,0.266854956,3000,1.298825748,5.536379335,0.234598403,Healthy
0.002558797,0.00402856,0.086583972,1.058328414,0.069831829,0.303203319,0.091932252,0.005536633,1.3018862,-1.1269144,7.676390243,2.4288006,0.00402856,0.303214116,3000,1.327586711,5.700152894,0.232903702,Healthy
-0.000304487,-0.008898908,-0.15849677,0.520874911,0.128019708,0.300629007,0.0903778,0.005489625,1.2698982,-1.1199396,-0.913460861,2.3898378,-0.008898908,0.300629161,3000,1.28913244,5.445469625,0.236734851,Healthy
0.002001332,-0.009800824,-0.25121376,0.877997019,0.067950644,0.3070195,0.094260973,0.005606318,1.323893,-1.2054412,6.003996882,2.5293342,-0.009800824,0.307026022,3000,1.308558856,5.642492112,0.231911508,Healthy
-0.001197905,-0.007816609,-0.1354077,0.662711802,0.029551001,0.276667798,0.07654507,0.005052082,1.1367754,-1.1576998,-3.59371505,2.2944752,-0.007816609,0.276670391,3000,1.301458407,5.445823577,0.238982844,Healthy
0.001385344,-0.004810221,-0.17725663,0.935423302,0.082319107,0.304498003,0.092719034,0.005560274,1.1781433,-1.2167453,4.15603069,2.3948886,-0.004810221,0.304501154,3000,1.316522655,5.260645917,0.250258747,Healthy
-0.001017722,0.000721533,-0.041367896,0.621865174,0.106242272,0.291762018,0.085125075,0.005327709,1.1753774,-1.0438179,-3.053166995,2.2191953,0.000721533,0.291763793,3000,1.300852584,5.240515665,0.248229882,Healthy
0.000659441,-0.003066516,-0.32481015,0.330834827,0.043104614,0.298751024,0.089252174,0.005455332,1.053799,-1.0565649,1.978322654,2.1103639,-0.003066516,0.298751752,3000,1.281943695,4.533719726,0.282757597,Healthy
-0.002638406,-0.006553926,0.1232619,0.841598868,0.140004453,0.269638224,0.072704772,0.004923719,1.200631,-1.2922658,-7.915218246,2.4928968,-0.006553926,0.269651132,3000,1.29110763,6.187454958,0.208665378,Healthy
0.002174541,0.001443067,0.01900037,0.674023245,0.041687371,0.28308641,0.080137915,0.005169289,1.2021943,-1.0451406,6.523621812,2.2473349,0.001443067,0.283094761,3000,1.303286339,5.534554577,0.235481703,Healthy
-0.001460583,-0.006914692,-0.18844038,0.799050223,0.08730796,0.263187847,0.069267843,0.004805932,0.9414804,-1.0352798,-4.381750089,1.9767602,-0.006914692,0.263191899,3000,1.310854477,5.156318123,0.254222964,Healthy
5.72E-05,-0.004689965,-0.014911683,0.456090573,0.123062823,0.288267869,0.083098364,0.005263905,1.0980531,-1.1134458,0.171724864,2.2114989,-0.004689965,0.288267874,3000,1.292601712,4.992724043,0.258897087,Healthy
-0.001343294,-0.001022172,-0.12157832,0.563121018,-0.033222384,0.274487802,0.075343554,0.005012274,1.0394887,-1.0802553,-4.029882939,2.119744,-0.001022172,0.274491089,3000,1.297812103,5.107518821,0.25409835,Healthy
0.002968628,0.002405111,0.016475005,0.680617674,0.082830806,0.279941874,0.078367453,0.005111868,1.058489,-0.9069671,8.905882606,1.9654561,0.002405111,0.279957614,3000,1.30585677,4.937301073,0.264487976,Healthy
